Cores,Frequency,L2cache,FSB,Mult.,Voltage,TDP,Socket,Partnumber(s),GPUfrequency,I/O bus,Memory,Burst,GPUmodel,Connectivity,SDP,Model Number,Front Side Bus,Multiplier,Mult,L2 Cache,Turbo,L3cache,Turbo Boostall-core/2.0(/max. 3.0),Atom (ULV),Atom (ULV).1,Unnamed: 2,Feature size,Unnamed: 4,x86,x86.1,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Base / Boost / TVB Clocks (GHz),GPU EU,GPU Max freq,Price,Model number,Clock speed,Cache,Cache.1,FSB speed,Threadsper core,TDP (W),Cache.2,Price (USD),Clock speed.1,QuickPath,Freq. (GHz),FSB (MHz),Voltage (V),Freq.,Power,Power.1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Freq. (MHz),L1cache,Model numberClock speed,sSpec number,Front-side bus,Clock multiplier,Voltage range,Part number(s),Core stepping,64-bit,FrqGHz,FSBMT/s,VT-x,P-core (performance),P-core (performance).1,P-core (performance).2,P-core (performance).3,E-core (efficiency),E-core (efficiency).1,E-core (efficiency).2,E-core (efficiency).3
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1333[39],,,10×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,133,1.5,,,,,,,1333,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,192.0,,,94.0,,,32.0,,,low voltage,,,low voltage,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,low voltage,,,,,,low voltage,low voltage,,,,,,,low voltage,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron LV 650[40],,,6.5×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,,100,1.15,,,,,,,650,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron LV 667[41][42],,,5×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,1.15,,,,,,,667,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron LV 733[43],,,5.5×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,133,1.15,,,,,,,733,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron LV 866[44][45],,,6.5×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,9.61,,,,,,133,1.15,,,,,,,866,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,200.0,,,94.0,,,32.0,,,ultra-low voltage,,,ultra-low voltage,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,ultra-low voltage,,,,,,ultra-low voltage,ultra-low voltage,,,,,,,ultra-low voltage,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron ULV 650[46],,,6.5×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,100,1.1,,,,,,,650,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron ULV 700[47][48],,,7×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,100,1.1,,,,,,,700,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron ULV 733[49][50],,,5.5×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,133,1.1,,,,,,,733,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,96.0,,,94.0,,,32.0,,,Mobile Celeron ULV 800[51][52],,,6×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,133,1.1,,,,,,,800,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1.2,,,12×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,20.8,,,,,1.2,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1.4,,,14×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1.4,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1.5,,,15×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1.5,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1.6,,,16×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1.6,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1.7,,,17×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1.7,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 1.8,,,18×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,1.8,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 2.0,,,20×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,2.0,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 2.2,,,22×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,2.2,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 2.4,,,24×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,2.4,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,256.0,,,,66.03544956493715,98.0,,,94.0,,,32.0,,,Mobile Celeron 2.5,,,25×,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,2.5,400,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.2,0.512,400 MT/s,12×,1.356 V,24.0,130.0,RJ80535NC009512 RH80535NC009512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.3,0.512,400 MT/s,13×,1.356 V,24.0,128.0,RJ80535NC013512 LE80535NC013512 RH80535NC013512 RH80535NC0131M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.4,0.512,400 MT/s,14×,1.356 V,24.0,134.0,RJ80535NC017512 RH80535NC017512 RH80535NC0171M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.5,0.512,400 MT/s,15×,1.356 V,24.0,134.0,RJ80535NC021512 RH80535NC021512 RH80535NC0211M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.6,0.512,400 MT/s,6×,1.004 V,7.0,125.0,RJ80535VC600512 LE80535VC600512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.8,0.512,400 MT/s,8×,1.004 V,7.0,124.0,RJ80535VC800512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.9,0.512,400 MT/s,9×,1.004 V,7.0,124.0,RJ80535VC900512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.3,1.0,400 MT/s,13×,1.004–1.292 V,21.0,139.0,RH80536NC0131M RJ80536NC0131M RH80536NC0131M RJ80536NC0131M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.4,1.0,400 MT/s,14×,1.004–1.292 V,21.0,139.0,RH80536NC0171M RJ80536NC0171M RH80536NC0171M RJ80536NC0171M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.5,1.0,400 MT/s,15×,1.004–1.292 V,21.0,139.0,RH80536NC0211M RJ80536NC0211M LE80536NC0211M BX80536NC1500EJ,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.6,1.0,400 MT/s,16×,1.004–1.292 V,21.0,138.0,RH80536NC0251M RJ80536NC0251M LE80536NC0251M BX80536NC1600EJ,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.7,1.0,400 MT/s,17×,1.004–1.292 V,21.0,137.0,RH80536NC0291M RJ80536NC0291M LE80536NC0291M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,400 MT/s,10×,0.876–0.956 V,5.0,124.0,RJ80536VC0011M LE80536VC0011M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.2,0.512,400 MT/s,12×,1.26 V,21.0,124.0,LE80536NC009512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,0.9,0.512,400 MT/s,9×,0.876–0.94 V,5.0,124.0,RJ80536VC900512 LE80536VC900512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,0.512,400 MT/s,10×,0.876–0.94 V,5.0,124.0,RJ80536VC001512 LE80536VC001512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.33,0.512,533 MT/s,10×,1.0–1.3 V,27.0,159.0,LE80538NE014512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.47,1.0,533 MT/s,11×,1.0–1.3 V,27.0,159.0,LF80538NE0201M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.6,1.0,533 MT/s,12×,1.0–1.3 V,27.0,159.0,LF80538NE0251M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.73,1.0,533 MT/s,13×,1.0–1.3 V,27.0,159.0,LF80538NE0301M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.87,1.0,533 MT/s,14×,1.0–1.3 V,27.0,160.0,LF80538NE0361ME LE80538NE0361ME,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,1.0,533 MT/s,15×,1.0–1.3 V,27.0,159.0,LF80538NE0411ME,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.07,1.0,533 MT/s,8×,0.95–0.975 V,5.0,57.0,LE80538VE0041M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.2,1.0,533 MT/s,9×,0.95–0.975 V,5.0,57.0,LE80538VE0091ME,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.67,1.0,667 MT/s,10×,1.1125–1.25 V,27.0,159.0,LF80538KF0281M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,1.83,1.0,667 MT/s,11×,1.1125–1.25 V,27.0,159.0,LF80538KF0341M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.6,1.0,533 MT/s,12×,0.95–1.3 V,30.0,159.0,LF80537NE0251M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.73,1.0,533 MT/s,13×,0.95–1.3 V,30.0,163.0,LF80537NE0301M LF80537NE0301M LF80537NE0301M LF80537NE0301M LE80537NE0301M LE80537NE0301M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.73,1.0,533 MT/s,13×,0.95–1.3 V,27.0,165.0,LF80537NE0301M LF80537NE0301MN,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.87,1.0,533 MT/s,14×,0.95–1.3 V,30.0,165.0,LF80537NE0361M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.2608191223688907,1.0,533 MT/s,15×,0.95–1.3 V,31.0,166.0,LF80537NE0411M LE80537NE0411M LE80537NE0411M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.13,1.0,533 MT/s,16×,0.95–1.3 V,31.0,165.0,LF80537NE0461M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.27,1.0,533 MT/s,17×,0.95–1.3 V,31.0,165.0,LF80537NE0511M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.2608191223688907,1.0,667 MT/s,12×,1.075–1.175 V,31.0,165.0,LF80537NF0411M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.17,1.0,667 MT/s,13×,1.075–1.175 V,31.0,165.0,LF80537NF0481M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,0.933,1.0,533 MT/s,7×,0.85–1.1 V,5.0,57.0,LE80537VE9331M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.2608191223688907,0.512,533 MT/s,7.5×,0.8–0.975 V,10.0,57.0,LE80537VE001512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,standard voltage,standard voltage,standard voltage,66.03544956493715,195.0,standard voltage,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.2,1.0,800 MT/s,11×,1–1.25 V,35.0,165.0,AW80585NG0491MA,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,2.3,1.0,800 MT/s,11.5×,1–1.25 V,35.0,165.0,AW80585NG0521MA,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,ultra-low voltage,ultra-low voltage,ultra-low voltage,66.03544956493715,200.0,ultra-low voltage,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.2,1.0,800 MT/s,6×,0.775–1.1 V,5.0,202.0,AV80585VG0091MP,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.2,1.0,800 MT/s,6×,1.05–1.15 V,10.0,202.0,AV80585VG0091M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.3,1.0,800 MT/s,6.5×,1.05–1.15 V,10.0,202.0,AV80585VG0131M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.4,1.0,800 MT/s,7×,1.05–1.15 V,10.0,202.0,AV80585VG0171M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.73,0.512,533 MT/s,13×,1.075–1.175 V,35.0,165.0,LF80537NE030512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,0.512,533 MT/s,14×,1.075–1.175 V,35.0,165.0,LF80537NE036512,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.67,1.0,667 MT/s,10×,1.075–1.175 V,35.0,165.0,LF80537NF0281MN,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.83,1.0,667 MT/s,11×,1.075–1.175 V,35.0,165.0,LF80537NF0341MN,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.8,1.0,800 MT/s,9×,1–1.25 V,35.0,165.0,AW80577GG0331ML,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.9,1.0,800 MT/s,9.5×,1–1.25 V,35.0,167.0,AW80577GG0371ML AV80577NG0371M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,1.0,800 MT/s,10×,1–1.25 V,35.0,167.0,AW80577GG0411ML AW80577NG0411M,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.1,1.0,800 MT/s,10.5×,1–1.25 V,35.0,167.0,AW80577GG0451ML,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.2,1.0,800 MT/s,6×,1.05–1.15 V,10.0,202.0,AV80577UG0091M AV80577UG0091ML,,94.0,,,32.0,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,standard power,standard power,66.03544956493715,193.0,standard power,standard power,95.0,standard power,,32.0,,,,,,,,standard power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,0.512,,14×,0.775–1.4 V,35.0,168.0,CP80617004803AA,500–667 MHz,39.0,2 × DDR3-1066,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.87,0.512,,14×,0.775–1.4 V,35.0,21.0,CN80617004545AF,500–667 MHz,39.0,2 × DDR3-1066,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.2608191223688907,0.512,,15×,0.775–1.4 V,35.0,148.0,CP80617005307AB,500–667 MHz,39.0,2 × DDR3-1066,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,ultra-low power,ultra-low power,66.03544956493715,198.0,ultra-low power,ultra-low power,98.0,ultra-low power,,32.0,,,,,,,,ultra-low power,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.07,0.512,,8×,0.725–1.4 V,18.0,21.0,CN80617006039AA,166–500 MHz,39.0,2 × DDR3-800,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.07,0.512,,8×,0.725–1.4 V,18.0,21.0,CN80617006201AA,166-500 MHz,39.0,2 × DDR3-1066,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.2,0.512,,9×,0.725–1.4 V,18.0,21.0,CN80617005199AB,166–500 MHz,39.0,2 × DDR3-800,,32.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.6,0.256,,,,35.0,171.0,FF8062701078501 FF8062701084201,650–1000 MHz,40.0,,,47.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.7,0.256,,,,35.0,151.0,FF8062701078601 FF8062701084101,650–1000 MHz,40.0,,,8.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.8,0.256,,,,35.0,151.0,FF8062701084002 FF8062701148002,650–1000 MHz,40.0,,,8.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.5,0.512,,,,35.0,151.0,FF8062701142600,650–1000 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,0.512,,,,35.0,151.0,FF8062700848800,650–950 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,0.512,,,,35.0,151.0,FF8062701159901,650–1050 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.7,0.512,,,,35.0,151.0,FF8062700848602,650–1050 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.8,0.512,,,,35.0,151.0,FF8062700848702,650–1050 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.9,0.512,,,,35.0,151.0,FF8062700998301,650–1000 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,2.2608191223688907,9.609493111182314,,,,66.03544956493715,194.0,"standard power, embedded","standard power, embedded",96.0,,,116.0,,,,,,,,"standard power, embedded",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1.6,0.512,,,,35.0,15.0,AV8062700849802,650–1000 MHz,40.0,,,8.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.3,0.256,,,,17.0,15.0,AV8062701079501 AV8062701345400,350–950 MHz,40.0,,,8.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.4,0.256,,,,17.0,15.0,AV8062701079601 AV8062701345500,350–950 MHz,40.0,,,8.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,1.5,0.256,,,,17.0,15.0,AV8062701079701 AV8062701079702 AV8062701345600,350–950 MHz,40.0,,,8.0,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
